title	artist	release	bpm	energy	danceability	loud	valence	length	acoustic	popularity	style
Something Just Like This	The Chainsmokers	22/02/17	103	65	61	-7	51	04:08	3	79	POP
1-800-273-8255	Logic	5/05/17	100	57	62	-8	35	04:10	57	86	POP
Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	21/10/16	102	76	72	-4	74	04:11	41	83	POP
Wolves	Selena Gomez	25/10/17	125	81	72	-5	31	03:18	13	87	POP
Figure It Out	Royal Blood	25/08/14	108	82	66	-4	65	03:04	26	62	ROCK
hometown	cleopatrick	25/10/17	139	83	32	-4	36	04:16	0	64	ROCK
Young Lady, You're Scaring Me	Ron Gallo	3/02/17	110	92	37	-6	51	03:41	1	61	ROCK
Come Together	Gary Clark Jr.	8/09/17	80	79	45	-5	51	03:14	0	69	ROCK
That Dress	The Pale White	29/09/16	128	81	57	-5	51	03:08	1	53	ROCK
Sleeping with Lions	The Cold Stares	1/10/18	74	78	37	-6	71	03:20	0	53	ROCK
Down To The Bottom	Dorothy	5/05/17	87	61	61	-5	52	02:32	1	58	ROCK
Let Me Live / Let Me Die	Des Rocs	13/07/18	91	76	51	-5	24	03:27	3	69	ROCK
Bury Me Face Down	grandson	16/12/16	142	63	39	-5	16	03:52	2	65	ROCK
Black Holes (Solid Ground)	The Blue Stones	20/04/18	92	84	56	-4	27	03:06	1	24	ROCK
Do Your Worst	Rival Sons	14/09/18	84	80	39	-3	40	03:31	1	65	ROCK
Broken Bones	CRX	20/10/16	99	57	35	-4	53	03:31	0	49	ROCK
Brave New World - Radio Edit	The Blinders	26/07/18	130	91	54	-6	57	02:40	0	52	ROCK
Lydia	Highly Suspect	17/07/15	128	71	42	-5	51	04:03	1	63	ROCK
Suffocation Blues	Black Pistol Fire	16/09/15	176	84	28	-6	42	02:41	0	62	ROCK
Wolf Like Me	TV On The Radio	1/01/06	176	80	22	-5	21	04:39	0	61	ROCK
I'm A King Bee	The Stone Foxes	26/04/11	76	53	45	-8	49	03:20	6	50	ROCK
Loose Ends	Cortes	28/09/18	100	58	65	-7	65	02:41	0	44	ROCK
LUCKY PENNY	JD McPherson	8/08/17	128	74	70	-6	82	03:34	7	59	ROCK
Power	AJ Ghent [ j-ent ]	10/11/17	148	86	46	-5	70	03:41	0	40	ROCK
Bring It On	Deap Vally	25/06/18	82	62	61	-7	59	02:59	27	45	ROCK
Summertime Blues	'68	27/04/18	116	89	47	-7	41	03:29	0	24	ROCK
Bomb Through the Breeze	Hannah Wicklund & The Steppin Stones	26/01/18	82	59	40	-5	69	02:45	0	49	ROCK
Plastic Hamburgers	Fantastic Negrito	23/03/18	82	78	63	-7	56	03:37	3	56	ROCK
Legendary	Welshly Arms	13/05/16	142	61	53	-6	44	03:51	4	2	ROCK
the depths	cleopatrick	13/04/18	170	73	37	-5	30	04:02	0	48	ROCK
Used to the Darkness	Des Rocs	11/05/18	106	75	68	-5	45	04:16	18	48	ROCK
Your Touch	The Black Keys	12/09/06	116	77	53	-9	70	02:43	80	50	ROCK
Trouble	The New Respects	23/09/16	148	72	50	-5	35	03:25	2	43	ROCK
Yes, I Know	The Pack a.d.	11/11/16	102	98	39	-3	16	03:36	8	44	ROCK
Shadow of Your Love	Cut Glass Kings	2/11/17	130	84	51	-5	24	02:36	0	56	ROCK
Unholy	Bobby Saint	19/05/17	85	70	61	-7	55	03:29	1	41	ROCK
Facing My Fear	Cortes	29/10/16	168	81	41	-3	64	03:22	0	2	ROCK
daphne did it	cleopatrick	13/04/18	79	84	33	-5	49	03:23	0	50	ROCK
Mountain	Crown Lands	27/10/17	124	60	39	-6	36	03:12	4	41	ROCK
Black Sun	Kadavar	13/07/12	88	85	36	-4	52	06:14	12	45	ROCK
Feel It Still	Portugal. The Man	2/03/17	79	80	78	-5	77	02:43	4	73	ROCK
Speed Queen	Thunderpussy	3/11/17	158	97	42	-4	65	04:08	0	1	ROCK
Hot Blood	Kaleo	10/06/16	148	90	33	-3	40	03:39	0	63	ROCK
Bright Lights	Gary Clark Jr.	22/10/12	84	75	52	-2	50	05:25	0	60	ROCK
Money Comes, Money Goes	Oddnote	13/01/18	160	73	32	-10	36	02:33	0	4	ROCK
Night People	You Me At Six	22/08/16	82	80	47	-5	41	03:04	0	38	ROCK
Animal	Badflower	2/09/16	76	59	51	-7	32	04:01	2	8	ROCK
Highway Tune	Greta Van Fleet	21/04/17	124	95	58	-3	52	03:01	1	9	ROCK
The Devil You Know	X Ambassadors	6/06/17	108	70	65	-7	32	04:03	0	56	ROCK
New Religion	Migrant Motel	14/04/17	73	41	57	-9	40	03:04	0	38	ROCK
Currency	The Black Angels	8/02/17	146	85	45	-5	12	05:16	0	33	ROCK
Flesh and Bone	Blackberry Smoke	19/01/18	113	95	50	-5	35	04:32	4	40	ROCK
Little One	Highly Suspect	18/11/16	140	35	47	-8	10	04:02	1	62	ROCK
Oh No	Goodbye June	1/04/16	133	98	26	-4	27	03:41	0	11	ROCK
Hellfire	Barns Courtney	3/02/17	94	86	53	-5	67	02:49	21	49	ROCK
Apple Pie	Rafferty	11/07/16	117	93	63	-5	47	02:59	2	53	ROCK
Sinister Kid	The Black Keys	18/05/10	140	83	76	-7	94	03:44	13	53	ROCK
Waterfall	Crown Lands	27/10/17	137	64	44	-7	42	03:02	8	38	ROCK
Lights Out	Royal Blood	13/04/17	90	89	26	-4	51	03:57	0	54	ROCK
Baby I Call Hell	Deap Vally	1/01/13	79	92	38	-5	44	03:00	0	45	ROCK
Dark Nights	Dorothy	24/06/16	168	84	16	-4	62	03:10	0	51	ROCK
Atta Blues	Emily Wolfe	15/01/16	144	53	44	-5	46	03:28	0	41	ROCK
Head Bent	The Cold Stares	16/06/17	112	94	56	-7	59	02:35	0	36	ROCK
Muthafucka	Beware Of Darkness	10/06/16	140	80	36	-5	30	03:33	0	43	ROCK
Hook, Line & Sinker	Royal Blood	16/05/17	88	90	51	-5	49	03:28	0	49	ROCK
My Name Is Human	Highly Suspect	7/09/16	140	73	52	-6	17	04:19	0	37	ROCK
Prisoner	The Pretty Reckless	21/10/16	81	80	65	-8	46	03:00	3	9	ROCK
Rolling With the Punches	The Blue Stones	27/04/18	164	88	55	-5	37	03:21	2	17	ROCK
Highway	Bleeker	21/10/16	154	94	46	-5	70	03:22	0	58	ROCK
bernard trigger	cleopatrick	3/02/18	118	79	40	-4	34	03:29	0	47	ROCK
You Rascal You	Hanni El Khatib	25/09/11	85	67	60	-8	48	02:21	52	47	ROCK
Tied Up	Rival Sons	20/05/16	145	83	37	-7	44	03:27	1	1	ROCK
Howlin' For You	The Black Keys	18/05/10	133	74	71	-7	45	03:12	3	69	ROCK
Raise Hell	Dorothy	2/10/15	80	68	54	-6	76	03:02	2	13	ROCK
Love Spills	Radkey	21/08/15	139	96	28	-5	29	03:33	0	38	ROCK
Free	Bleeker	21/10/16	184	69	53	-5	83	02:25	0	41	ROCK
That Black Bat Licorice	Jack White	6/06/14	110	75	40	-8	77	03:50	12	48	ROCK
Save Me Some Sunshine	Rafferty	30/11/16	178	76	50	-4	54	03:37	8	48	ROCK
Making Gestures	The Pack a.d.	2008	105	71	44	-4	73	04:10	67	39	ROCK
Don't Wanna Fight	Alabama Shakes	21/04/15	100	92	60	-3	56	03:53	24	58	ROCK
Nearly Forgot My Broken Heart	Chris Cornell	18/09/15	120	79	60	-5	61	03:54	10	60	ROCK
No Retreat	Joe Marson	10/11/16	140	68	65	-7	43	02:39	51	35	ROCK
Virgins	Death From Above 1979	9/09/14	90	95	31	-2	50	03:08	0	39	ROCK
Wolf	Highly Suspect	11/11/16	84	53	25	-8	4	06:56	1	32	ROCK
No One Knows	Queens of the Stone Age	2002	171	59	51	-5	64	04:39	4	68	ROCK
Icky Thump	The White Stripes	19/06/07	98	63	42	-7	36	04:15	2	59	ROCK
Elephant	Tame Impala	1/01/12	123	57	60	-7	62	03:31	56	70	ROCK
A Taste of Silver	Until The Ribbon Breaks	23/09/14	88	96	62	-4	48	03:02	2	32	ROCK
Man Of The Moment	Goodbye June	1/07/16	156	90	39	-4	30	03:13	2	1	ROCK
Never Coming Back	Levi Conner	13/11/12	69	46	52	-9	51	03:01	2	37	ROCK
I’m So Sorry	Imagine Dragons	18/09/14	143	68	52	-6	37	03:50	13	65	ROCK
Steady, As She Goes	The Raconteurs	2006	123	60	53	-4	57	03:35	1	10	ROCK
Sixteen Saltines	Jack White	20/04/12	132	87	60	-8	68	02:36	1	52	ROCK
Soul Machine	Black Stone Cherry	1/04/16	94	95	44	-5	48	04:01	0	48	ROCK
Asleep at the Wheel	Band Of Skulls	31/03/14	146	63	35	-7	71	04:06	0	43	ROCK
Listen My Son	The Unseen Guest	11/04/05	128	80	76	-3	88	04:01	23	40	ROCK
Entrance Song	The Black Angels	14/09/10	113	79	31	-5	15	03:39	0	47	ROCK
Bad Habit	The Kooks	1/01/14	123	88	73	-4	84	03:41	5	65	ROCK
Banshee	Kendra Morris	28/08/12	191	52	50	-8	41	03:47	27	4	ROCK
I'm America	Cilver	11/12/15	166	93	46	-2	58	03:42	3	47	ROCK
I Can't Hear You	The Dead Weather	7/05/10	79	75	53	-3	42	03:35	5	51	ROCK
Heaven Knows	The Shouting Matches	9/04/13	143	75	61	-8	63	03:35	3	42	ROCK
Violent Shiver	Benjamin Booker	1/04/14	165	97	28	-6	25	02:46	2	9	ROCK
On My Mind	Liam Bailey	23/06/14	110	59	63	-3	51	03:34	1	33	ROCK
Rumble And Sway	Jamie N Commons	1/01/13	80	82	65	-5	68	03:06	11	43	ROCK
Spread Your Love	Black Rebel Motorcycle Club	1/01/01	128	90	42	-3	42	03:45	1	60	ROCK
Out Of The Black	Royal Blood	11/03/14	159	98	52	-3	63	04:01	0	20	ROCK
Beast	Nico Vega	2012	140	90	42	-4	18	04:01	0	2	ROCK
Suffocation Blues	Black Pistol Fire	15/02/11	175	86	28	-6	42	02:41	0	4	ROCK
How You Like Me Now	The Heavy	5/10/09	110	71	65	-5	27	03:37	0	3	ROCK
New Fang	Them Crooked Vultures	1/01/09	190	96	28	-4	74	03:49	0	54	ROCK
Remember the Taker	The Steepwater Band	16/08/11	144	72	49	-5	21	06:11	0	42	ROCK
Them Shoes	Patrick Sweany	12/06/07	81	40	41	-8	45	05:49	42	48	ROCK
Pressure and Time	Rival Sons	20/06/11	93	92	41	-5	60	03:17	0	49	ROCK
Haunted Heart	little hurricane	7/02/12	133	72	58	-7	69	02:45	0	1	ROCK
Wannabe in LA	Eagles Of Death Metal	28/10/08	159	95	63	-4	97	02:16	28	1	ROCK
Haunt You	The Pack a.d.	20/09/11	174	96	15	-6	14	03:37	0	29	ROCK
Everlasting Light	The Black Keys	18/05/10	181	58	64	-7	73	03:24	13	60	ROCK
I’m A Man	Black Strobe	5/06/07	130	78	73	-8	82	04:36	0	38	ROCK
The Road to Life	Monocle Twins	26/08/18	66	58	47	-9	8	03:49	2	65	DEEP FOCUS
Adrift	Cooper Sams	21/03/18	85	33	38	-16	5	02:38	50	65	DEEP FOCUS
Pretending	Evolution of Stars	9/09/16	137	22	42	-15	4	03:07	93	67	DEEP FOCUS
Glaciers	Lights & Motion	2/02/18	56	16	8	-18	4	02:56	73	65	DEEP FOCUS
As the Lights Fade Away	The Echelon Effect	18/11/13	89	8	31	-22	4	01:46	89	65	DEEP FOCUS
Fusion	Eroded Sky	10/11/17	120	14	55	-17	10	03:48	99	67	DEEP FOCUS
We Are Forever	They Dream By Day	16/06/16	114	19	46	-19	7	02:13	98	69	DEEP FOCUS
Ventura	City of the Sun	18/05/18	120	42	61	-16	17	04:41	40	65	DEEP FOCUS
Now It's Over. Now I'm Awake.	LUCHS	2/06/16	138	11	19	-19	4	02:20	46	68	DEEP FOCUS
The Choice	Gustavo Santaolalla	7/06/13	51	0	30	-31	35	01:42	91	65	DEEP FOCUS
In the Clouds	Astron	3/01/18	74	5	32	-20	4	02:57	93	66	DEEP FOCUS
Together / Your Hand in Mine (Radio Edit)	Tracey Chattaway	5/01/17	144	26	36	-14	11	04:56	84	62	DEEP FOCUS
Finding Faith	Amaranth Cove	29/06/18	110	25	58	-14	17	02:37	89	61	DEEP FOCUS
Truth (Helios Remix)	Balmorhea	4/08/09	126	46	45	-16	14	03:45	84	14	DEEP FOCUS
Tracking Aeroplanes	The Echelon Effect	30/08/12	83	16	40	-16	9	07:49	99	62	DEEP FOCUS
Soft Upon Your Face	Ave Air	10/08/18	161	9	19	-23	4	03:15	96	68	DEEP FOCUS
Dreams Of Another Reality	August Wilhelmsson	15/03/16	120	28	58	-17	25	03:10	97	67	DEEP FOCUS
He Needs Help	David Wingo	28/07/17	67	4	14	-26	4	03:11	95	64	DEEP FOCUS
Eternity	Jordan Critz	1/09/17	130	34	40	-13	6	03:01	93	63	DEEP FOCUS
Postcards from You	Life Below Elephants	14/08/18	135	66	56	-8	12	03:53	1	59	DEEP FOCUS
Fallen	Elise Magnefold	18/10/17	100	11	54	-22	3	04:38	98	63	DEEP FOCUS
Shimmer	Tracey Chattaway	16/10/13	111	34	60	-13	9	03:33	49	63	DEEP FOCUS
The Plains of Dover	Ceilidh	16/08/16	118	41	49	-17	34	03:11	91	65	DEEP FOCUS
Nothing It Can	Helios	20/05/14	109	25	18	-12	4	04:48	78	65	DEEP FOCUS
Morro Bay	Lundegard	10/08/18	122	12	65	-21	5	03:12	97	65	DEEP FOCUS
Ravelling	At The End Of Times, Nothing	15/01/16	130	44	31	-8	10	02:31	1	62	DEEP FOCUS
Perfect Instance	City of the Sun	19/05/17	104	26	48	-14	4	04:13	73	14	DEEP FOCUS
Clear Language	Balmorhea	6/07/17	123	8	40	-16	4	03:13	96	20	DEEP FOCUS
The Slide	Eucalyptic	13/04/18	134	11	28	-17	14	02:55	88	61	DEEP FOCUS
A Silver Lining	They Dream By Day	16/06/16	111	17	18	-19	12	02:16	79	69	DEEP FOCUS
Astral Projection	Astron	27/11/17	95	38	44	-16	4	02:42	84	63	DEEP FOCUS
Supernovas	William Roud	19/01/17	110	50	26	-9	5	03:02	5	61	DEEP FOCUS
Varberg	U137	20/08/13	110	55	25	-8	18	02:50	91	61	DEEP FOCUS
Overture	Lights & Motion	2/02/18	77	7	36	-18	6	03:18	98	61	DEEP FOCUS
Daylight Goodbye	Message To Bears	2012	114	31	30	-14	4	05:51	79	60	DEEP FOCUS
My World Is Changing	Eroded Sky	13/04/18	81	19	57	-16	17	02:52	96	60	DEEP FOCUS
Paper	Poppy Ackroyd	15/12/17	115	49	61	-14	33	04:35	91	55	DEEP FOCUS
Goodbye Sierra	The Echelon Effect	9/06/17	86	23	31	-17	6	02:40	87	61	DEEP FOCUS
Fast Twitch	Jonathan Kawchuk	8/01/18	78	28	8	-18	4	03:55	93	37	DEEP FOCUS
Red Gold Yesterday	LUCHS	2/06/16	96	23	37	-21	17	02:19	88	69	DEEP FOCUS
Breathe	Night Sounds	22/01/18	130	18	26	-21	4	04:13	88	61	DEEP FOCUS
Watching the Storm	U137	20/08/13	100	41	41	-12	7	05:07	30	61	DEEP FOCUS
Branch	Keith Kenniff	2011	140	18	44	-15	17	02:06	97	61	DEEP FOCUS
Escape	David Wingo	28/07/17	130	17	43	-23	4	01:25	90	59	DEEP FOCUS
Seeming	Helios	18/07/18	69	22	17	-18	4	02:36	45	53	DEEP FOCUS
The Powers Of The Universe	Of Water	15/10/15	169	52	19	-10	9	03:58	24	59	DEEP FOCUS
Last Sunrise In The Wasteland	At The End Of Times, Nothing	23/06/16	126	34	45	-7	5	02:49	1	59	DEEP FOCUS
You’re So Very Far Away	Clem Leek	25/10/11	137	11	31	-18	8	02:59	95	61	DEEP FOCUS
Valley Tales	Jonci	4/06/18	110	15	43	-18	4	03:22	21	61	DEEP FOCUS
Any Given Place	Of Water	15/10/15	141	42	28	-7	7	03:04	9	59	DEEP FOCUS
Waiting For Sundown	Monocle Twins	20/01/17	168	31	42	-14	8	03:55	98	64	DEEP FOCUS
Journey South	Age Of Spades	9/09/16	117	46	46	-13	30	04:22	66	63	DEEP FOCUS
Behind the World	Balmorhea	22/09/17	89	16	33	-19	7	04:07	97	59	DEEP FOCUS
Euphoria	Lucy Vincent	24/05/18	82	7	59	-23	11	03:31	99	58	DEEP FOCUS
Numb	Lacy Magic	4/06/18	120	24	55	-15	20	03:23	42	57	DEEP FOCUS
Migration	Keith Kenniff	9/03/18	103	5	28	-23	7	03:38	94	59	DEEP FOCUS
Late Night Call	Suss	2/02/18	133	10	23	-21	4	04:46	91	29	DEEP FOCUS
In This Together	Boil The Ocean	4/07/16	73	17	45	-18	21	02:10	99	59	DEEP FOCUS
Hiking	David Wingo	28/07/17	78	15	50	-18	39	01:07	56	56	DEEP FOCUS
RD 1	Blithe Field	6/04/18	116	27	19	-21	15	04:29	96	56	DEEP FOCUS
Breathe	Night Sounds	20/02/18	130	19	28	-21	4	04:13	89	56	DEEP FOCUS
Clasped Hands	Blithe Field	12/04/12	88	27	41	-15	12	03:48	85	58	DEEP FOCUS
Light in the Fog	Night Sounds	27/11/17	172	53	41	-14	4	03:04	7	61	DEEP FOCUS
Home	Tracey Chattaway	5/01/17	140	35	51	-12	11	04:53	25	56	DEEP FOCUS
Shores	Heron	21/01/17	126	52	42	-10	18	08:31	0	56	DEEP FOCUS
Shadows Fall	Random Forest	10/01/14	84	29	17	-15	3	05:28	36	59	DEEP FOCUS
Pale Lights	This Patch of Sky	4/08/17	73	53	13	-17	19	04:43	29	10	DEEP FOCUS
If I'd Have Known It Was The Last (Second Position)	Codes In The Clouds	14/01/11	106	25	46	-14	5	01:53	0	39	DEEP FOCUS
Archipelago Dreams	Halcyon Fields	28/11/16	81	21	12	-19	4	02:36	84	67	DEEP FOCUS
Sky Could Undress	Balmorhea	22/09/17	147	20	42	-16	4	04:08	86	61	DEEP FOCUS
Masollan	Balmorhea	2/10/12	91	33	46	-13	18	05:13	32	10	DEEP FOCUS
They Move on Tracks of Never-Ending Light	This Will Destroy You	8/01/07	120	19	65	-19	7	06:56	55	59	DEEP FOCUS
Kitchen	This Will Destroy You	13/10/17	127	20	19	-19	4	06:30	93	57	DEEP FOCUS
Bless Those Tired Eyes	Clem Leek	20/02/13	137	20	30	-19	4	03:52	89	59	DEEP FOCUS
You Are Here	Yo La Tengo	18/01/18	115	58	56	-12	11	05:44	77	9	DEEP FOCUS
Halving the Compass (Rhian Sheehan Remix)	Helios	1/12/12	115	27	47	-14	13	06:43	81	57	DEEP FOCUS
The First Day of Spring	A Dancing Beggar	28/06/17	84	56	50	-13	21	01:57	38	55	DEEP FOCUS
Amongst Your Earthiest Words The Angels Stray	Years Of Rice And Salt	13/05/11	143	35	33	-8	7	06:00	17	55	DEEP FOCUS
The Walk Of Life	Eucalyptic	10/11/17	96	5	33	-15	8	02:47	98	54	DEEP FOCUS
In Collusion with the Waves	Seas of Years	17/05/16	105	30	24	-15	4	04:37	82	55	DEEP FOCUS
Guided by the Glowing Sea	The American Dollar	1/07/17	116	70	46	-12	13	04:29	0	55	DEEP FOCUS
A Course of Strengthening Medicines	Lowercase Noises	19/05/17	78	29	11	-16	4	05:45	97	55	DEEP FOCUS
Thunder Rising	The American Dollar	1/10/17	115	48	42	-11	6	05:47	21	56	DEEP FOCUS
SICKO MODE	Travis Scott	3/08/18	155	73	83	-4	45	05:13	1	97	VIRAL
WORKIN ME	Quavo	10/08/18	170	63	79	-4	27	02:50	18	86	VIRAL
Start The Par-dee	Chef BRD	19/08/18	128	56	78	-6	52	02:26	3	55	VIRAL
Vaina Loca	Ozuna	24/08/18	94	81	75	-4	56	02:56	32	86	VIRAL
Eastside (with Halsey & Khalid)	benny blanco	12/07/18	89	68	56	-8	32	02:54	56	98	VIRAL
Thunderclouds (with Sia, Diplo & Labrinth)	Sia	9/08/18	112	72	69	-6	51	03:07	1	93	VIRAL
Bad At Love - Recorded at Sound Stage Studios Nashville	Old Dominion	8/08/18	120	68	77	-5	59	03:01	29	66	VIRAL
Play	Dave Grohl	10/08/18	186	84	20	-9	14	22:36	0	59	VIRAL
Be Alright	Dean Lewis	29/06/18	127	59	55	-6	44	03:16	70	96	VIRAL
Tie Me Down (with Elley Duhé)	Gryffin	3/08/18	99	84	55	-2	31	03:38	14	84	VIRAL
Beautiful (feat. Camila Cabello)	Bazzi	2/08/18	100	72	64	-5	25	03:00	35	94	VIRAL
¿Qué Tiene?	Ximena Sariñana	10/08/18	88	53	71	-8	70	02:57	63	75	VIRAL
Barbie Dreams	Nicki Minaj	10/08/18	88	79	86	-4	70	04:40	31	82	VIRAL
FEFE (feat. Nicki Minaj & Murda Beatz)	6ix9ine	22/07/18	126	39	93	-9	38	02:59	9	96	VIRAL
LAMB TALK	Quavo	10/08/18	142	60	91	-7	32	02:52	14	76	VIRAL
Mo Bamba	Sheck Wes	19/09/17	146	63	74	-5	32	03:01	27	90	VIRAL
No Brainer	DJ Khaled	27/07/18	136	76	55	-5	64	04:20	7	94	VIRAL
Taking A Walk	Trippie Redd	10/08/18	81	54	77	-6	34	02:02	68	83	VIRAL
Drew Barrymore	Bryce Vine	1/12/17	152	57	76	-7	25	03:10	49	87	VIRAL
You Say	Lauren Daigle	13/07/18	148	64	49	-6	10	04:35	67	73	VIRAL
Can’t Help Falling in Love	Kina Grannis	10/08/18	182	6	27	-19	14	03:22	91	78	VIRAL
